pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,822.1819536313508
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,822.1983176522243
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,824.9808330664528
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,825.6015883503659
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,825.57000701763
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,824.983410881825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,824.3535158839561
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,824.2414518235618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,824.4606013445735
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,825.2794238835594
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,825.8129283400536
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,825.4858159300258
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,824.9279765880599
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,824.2480471144042
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,824.7828626820824
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,825.0088316675435
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,825.8716296441963
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,826.4051341006905
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,826.1016248069469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,825.5506049294303
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,826.2240757549263
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,826.2520546089145
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,826.6303299076005
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,827.4557251254205
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,828.0249973705374
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,827.7981241007723
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,827.2471042232556
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,826.4718026395175
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,826.7609589227247
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,827.1722110320344
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,827.6757135023876
